model,experiment,run_name,run_id,status,start_time,end_time,d_loss,g_loss,g_adv_loss,info_loss,g_total_loss,latent_dim,latent_dim_c,latent_dim_n,lambda_info,batch_size,epochs,lr
baseline,cgan_baseline,baseline_cgan,0a0625a3018c4a818c5eb5d2135ce554,FINISHED,2026-05-14 00:49:54,2026-05-14 03:02:38,0.2592,5.1907,,,,100,,,,64,50,0.0002
disentangled,cgan_disentangled,disentangled_lambda_1.0,b9d4fd0e96c84343a8d99ad14eedb1a4,FINISHED,2026-05-12 05:40:46,2026-05-12 10:26:19,0.1448,,4.9332,0.0546,4.9877,100,8,92,1.0,64,50,0.0002
